SalesOrderID;RevisionNumber;OrderDate;DueDate;ShipDate;Status;OnlineOrderFlag;SalesOrderNumber;PurchaseOrderNumber;AccountNumber;CustomerID;SalesPersonID;TerritoryID;BillToAddressID;ShipToAddressID;ShipMethodID;CreditCardID;CreditCardApprovalCode;CurrencyRateID;SubTotal;TaxAmt;Freight;TotalDue;Comment;rowguid;ModifiedDate
69001;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO69001;;10-4030-025561;25561;;9;14412;14412;1;8021;838765Vi41536;11689;588.96;47.1168;14.724;650.8008;;E0794D37-0F95-413C-9597-D3CAAA1CCC27;01.04.2014 00:00
69002;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO69002;;10-4030-024271;24271;;9;14218;14218;1;11236;738789Vi57961;11689;563.77;45.1016;14.0943;622.9659;;9B14E742-30F7-488D-BA96-195BD51DDFCE;01.04.2014 00:00
69003;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO69003;;10-4030-025555;25555;;9;13775;13775;1;1535;638799Vi7868;11689;578.46;46.2768;14.4615;639.1983;;2616E760-CF78-4406-AC29-BCF5AE4FBF5B;01.04.2014 00:00
69004;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO69004;;10-4030-029187;29187;;9;16765;16765;1;12402;638803Vi64125;11689;588.96;47.1168;14.724;650.8008;;C5DCC626-C139-41D2-A535-34ED10F9DAE0;01.04.2014 00:00
69005;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO69005;;10-4030-021572;21572;;9;24052;24052;1;9755;139237Vi50252;11689;2478.34;198.2672;61.9585;2738.5657;;851CE30B-3568-4755-AC95-0AED988D0764;01.04.2014 00:00
69006;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO69006;;10-4030-021874;21874;;9;27588;27588;1;14639;1239239Vi75944;11689;2457.33;196.5864;61.4333;2715.3497;;500044CA-8320-4243-8978-F7D803F83FB8;01.04.2014 00:00
69007;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO69007;;10-4030-021882;21882;;9;19410;19410;1;12302;839244Vi63613;11689;2443.35;195.468;61.0838;2699.9018;;2640A1D6-9925-4D75-BC3C-07CBF02A40BE;01.04.2014 00:00
69008;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO69008;;10-4030-012578;12578;;9;22358;22358;1;3130;139527Vi16441;11689;618.98;49.5184;15.4745;683.9729;;C4E3D4E9-727D-43A0-95C4-766B0EE20AE3;01.04.2014 00:00
69009;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO69009;;10-4030-015176;15176;;6;18659;18659;1;8879;340268Vi45784;11691;2393.06;191.4448;59.8265;2644.3313;;5E669BA6-E4D3-4B53-A932-A98BEBB9C1AC;01.04.2014 00:00
69010;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO69010;;10-4030-027452;27452;;4;23126;23126;1;5829;240284Vi30405;;2473.05;197.844;61.8263;2732.7203;;916C5811-FF81-4CDA-8510-79B1DAE832DC;01.04.2014 00:00
69011;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO69011;;10-4030-023868;23868;;6;21868;21868;1;8069;640373Vi41818;11691;1251.12;100.0896;31.278;1382.4876;;72F495B2-A7B0-4863-AB65-F679A82DAD7D;01.04.2014 00:00
69012;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO69012;;10-4030-023460;23460;;1;22724;22724;1;18805;440766Vi97697;;649.46;51.9568;16.2365;717.6533;;9CDCAB2F-F7C6-4A5B-8CD5-88BAB298A19E;01.04.2014 00:00
69013;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO69013;;10-4030-023680;23680;;4;12695;12695;1;1807;440783Vi9314;;539.99;43.1992;13.4998;596.689;;6BEEA444-6875-4534-9408-ED832AA1FA0F;01.04.2014 00:00
69014;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO69014;;10-4030-023375;23375;;4;15258;15258;1;1124;240791Vi5661;;564.48;45.1584;14.112;623.7504;;326AE7D5-F28E-4DC4-A835-12201EA4EF79;01.04.2014 00:00
69015;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO69015;;10-4030-014881;14881;;1;14342;14342;1;8307;1241599Vi43014;;1155.48;92.4384;28.887;1276.8054;;0F6DB233-AF12-4655-8CB2-334FCF36691A;01.04.2014 00:00
69016;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO69016;;10-4030-021586;21586;;1;12157;12157;1;1530;141600Vi7855;;1120.49;89.6392;28.0123;1238.1415;;86329357-0FA4-4D39-9C12-268BF95DF2C7;01.04.2014 00:00
69017;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO69017;;10-4030-021476;21476;;4;15072;15072;1;14028;341632Vi72752;;1197.41;95.7928;29.9353;1323.1381;;4A1CFB11-1765-469D-A3CD-5E9AE471C052;01.04.2014 00:00
69018;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO69018;;10-4030-018438;18438;;4;23854;23854;1;6693;1041998Vi34832;;1709.98;136.7984;42.7495;1889.5279;;06213CEC-0B3A-4721-8F2A-7B8DF34ECD87;01.04.2014 00:00
69019;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO69019;;10-4030-024204;24204;;8;19251;19251;1;6118;742561Vi31789;;597.95;47.836;14.9488;660.7348;;BAF10D66-FAA8-4995-BB21-66A0D496E267;01.04.2014 00:00
69020;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO69020;;10-4030-024155;24155;;8;25513;25513;1;2549;542587Vi13300;;539.99;43.1992;13.4998;596.689;;88AD1115-4562-474F-9C38-29049E510CB9;01.04.2014 00:00
69021;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO69021;;10-4030-023778;23778;;7;23225;23225;1;7209;442873Vi37402;;588.96;47.1168;14.724;650.8008;;7487E567-CF51-486D-9F61-D54A21AF6BED;01.04.2014 00:00
69022;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO69022;;10-4030-024690;24690;;8;15793;15793;1;9449;842880Vi48717;;609.45;48.756;15.2363;673.4423;;81E05E19-335B-42AC-862C-742DA41602BE;01.04.2014 00:00
69023;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO69023;;10-4030-018010;18010;;7;16272;16272;1;12968;1243434Vi67094;;1785.97;142.8776;44.6493;1973.4969;;275A27B0-DB99-47C3-BB8D-61FDA384A252;01.04.2014 00:00
69024;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO69024;;10-4030-012693;12693;;9;12323;12323;1;1193;843584Vi6043;11689;2419.06;193.5248;60.4765;2673.0613;;247F8D20-2D86-449F-B02C-23ED1488E70B;01.04.2014 00:00
69025;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO69025;;10-4030-013000;13000;;9;21947;21947;1;7920;443607Vi40982;11689;2433.04;194.6432;60.826;2688.5092;;79B49ED5-7207-41F1-9F31-04FCC88EFCD2;01.04.2014 00:00
69026;8;25.03.2014 00:00;06.04.2014 00:00;01.04.2014 00:00;5;WAHR;SO69026;;10-4030-027869;27869;;9;12603;12603;1;11748;943618Vi60747;11689;2462.55;197.004;61.5638;2721.1178;;AEDB5EC4-F7AE-4B43-9556-3DCB76E0AF10;01.04.2014 00:00
69027;8;26.03.2014 00:00;07.04.2014 00:00;02.04.2014 00:00;5;WAHR;SO69027;;10-4030-014060;14060;;9;12964;12964;1;16037;716894Vi82895;11700;49.48;3.9584;1.237;54.6754;;D18F6721-9C93-4FC6-BEFC-B5D2AA3BDF96;02.04.2014 00:00
69028;8;26.03.2014 00:00;07.04.2014 00:00;02.04.2014 00:00;5;WAHR;SO69028;;10-4030-019579;19579;;9;21264;21264;1;13387;918429Vi69368;11700;53.99;4.3192;1.3498;59.659;;A736E2AA-9178-416C-B75F-D860D3C378E6;02.04.2014 00:00
69029;8;26.03.2014 00:00;07.04.2014 00:00;02.04.2014 00:00;5;WAHR;SO69029;;10-4030-014772;14772;;8;27704;27704;1;10572;719532Vi54506;;801.77;64.1416;20.0443;885.9559;;4EE6E0CE-21AE-4B6E-9609-EFDDC1FDEECA;02.04.2014 00:00
69030;8;26.03.2014 00:00;07.04.2014 00:00;02.04.2014 00:00;5;WAHR;SO69030;;10-4030-019902;19902;;7;26145;26145;1;9278;1219557Vi47864;;2297.28;183.7824;57.432;2538.4944;;8F4CFB87-9C02-447C-8B66-874E51859492;02.04.2014 00:00
69031;8;26.03.2014 00:00;07.04.2014 00:00;02.04.2014 00:00;5;WAHR;SO69031;;10-4030-018168;18168;;10;20802;20802;1;18856;1019622Vi97955;11705;2319.99;185.5992;57.9998;2563.589;;4AD3328C-D2DE-4285-A07D-07C910B00C04;02.04.2014 00:00
69032;8;26.03.2014 00:00;07.04.2014 00:00;02.04.2014 00:00;5;WAHR;SO69032;;10-4030-015460;15460;;8;26381;26381;1;15133;920232Vi78283;;564.99;45.1992;14.1248;624.314;;2D67FB7E-026A-4E2D-AEFF-0D6EA50B7328;02.04.2014 00:00
69033;8;26.03.2014 00:00;07.04.2014 00:00;02.04.2014 00:00;5;WAHR;SO69033;;10-4030-011262;11262;;6;29638;29638;1;;;11702;38.98;3.1184;0.9745;43.0729;;480C7A60-95FC-427E-9ED6-90AC50BB2DBF;02.04.2014 00:00
69034;8;26.03.2014 00:00;07.04.2014 00:00;02.04.2014 00:00;5;WAHR;SO69034;;10-4030-027041;27041;;1;13253;13253;1;18218;921259Vi94486;;7.28;0.5824;0.182;8.0444;;0436A466-40DA-4393-965B-AA544A356FB7;02.04.2014 00:00
69035;8;26.03.2014 00:00;07.04.2014 00:00;02.04.2014 00:00;5;WAHR;SO69035;;10-4030-013095;13095;;6;14200;14200;1;6202;421432Vi32218;11702;88.97;7.1176;2.2243;98.3119;;25C6DF01-839F-4E43-A9F7-A107477A93F1;02.04.2014 00:00
69036;8;26.03.2014 00:00;07.04.2014 00:00;02.04.2014 00:00;5;WAHR;SO69036;;10-4030-028680;28680;;1;21343;21343;1;11719;421564Vi60621;;31.27;2.5016;0.7818;34.5534;;CDAF43F2-A385-41AE-97B9-653D9C7E501C;02.04.2014 00:00
69037;8;26.03.2014 00:00;07.04.2014 00:00;02.04.2014 00:00;5;WAHR;SO69037;;10-4030-026526;26526;;4;22663;22663;1;15513;921995Vi80147;;37.93;3.0344;0.9483;41.9127;;32C2F519-DA92-4067-97D4-1178C7E565E6;02.04.2014 00:00
69038;8;26.03.2014 00:00;07.04.2014 00:00;02.04.2014 00:00;5;WAHR;SO69038;;10-4030-027301;27301;;4;15678;15678;1;9804;222125Vi50516;;68.97;5.5176;1.7243;76.2119;;4BA88524-F7D6-444B-A918-7B38AC8B4EAB;02.04.2014 00:00
69039;8;26.03.2014 00:00;07.04.2014 00:00;02.04.2014 00:00;5;WAHR;SO69039;;10-4030-012166;12166;;6;24457;24457;1;11409;322640Vi58838;11702;34.98;2.7984;0.8745;38.6529;;EDEC19D5-5BD4-4B68-851C-93726F3D9DCA;02.04.2014 00:00
69040;8;26.03.2014 00:00;07.04.2014 00:00;02.04.2014 00:00;5;WAHR;SO69040;;10-4030-023203;23203;;1;22528;22528;1;13002;222787Vi67251;;69.97;5.5976;1.7493;77.3169;;2A289BF7-494D-4509-9483-F54AE3981D6E;02.04.2014 00:00
69041;8;26.03.2014 00:00;07.04.2014 00:00;02.04.2014 00:00;5;WAHR;SO69041;;10-4030-023303;23303;;1;14661;14661;1;4212;823107Vi22182;;37.27;2.9816;0.9318;41.1834;;A6BE03D1-7516-4318-B878-1F7E06BB7C02;02.04.2014 00:00
69042;8;26.03.2014 00:00;07.04.2014 00:00;02.04.2014 00:00;5;WAHR;SO69042;;10-4030-015378;15378;;6;23374;23374;1;6964;223179Vi36221;11702;23.97;1.9176;0.5993;26.4869;;A13E9CCD-0C86-4015-96E2-32F385CA2C90;02.04.2014 00:00
69043;8;26.03.2014 00:00;07.04.2014 00:00;02.04.2014 00:00;5;WAHR;SO69043;;10-4030-019819;19819;;4;27958;27958;1;7100;724576Vi36837;;123.98;9.9184;3.0995;136.9979;;F1E64D81-38CC-4F5C-B308-2C7BEA8D9AC1;02.04.2014 00:00
69044;8;26.03.2014 00:00;07.04.2014 00:00;02.04.2014 00:00;5;WAHR;SO69044;;10-4030-018995;18995;;4;17332;17332;1;13148;324653Vi68143;;119.98;9.5984;2.9995;132.5779;;9B3E07B1-AECA-43A7-8B66-97155C469C9C;02.04.2014 00:00
